function name,modifiers,type params,type params number,type params have bound,params number,has block body,has initializer,body length,is top level,is inside class,is inside function,is functional expression,line number,file path
decode stream,internal inline,,0,false,2,true,false,4,true,false,false,false,20,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/Decoder.kt
send packet,public,,0,false,1,true,false,2,true,false,false,false,8,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/WebSockets.kt
send packet,public inline,,0,false,1,true,false,2,true,false,false,false,12,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/WebSockets.kt
packet,public inline,,0,false,0,true,false,3,true,false,false,false,16,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/WebSockets.kt
to ktor,internal,,0,false,0,false,true,4,true,false,false,false,18,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TextDecoder.kt
read array buffer,public,,0,false,1,true,false,9,true,false,false,false,5,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TypedArrays.kt
write fully,public,,0,false,3,true,false,5,true,false,false,false,16,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TypedArrays.kt
write fully,public,,0,false,3,true,false,16,true,false,false,false,23,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TypedArrays.kt
read text,public,,0,false,2,false,true,9,true,false,false,false,6,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TextDecoders.kt
read text,public,,0,false,3,true,false,10,true,false,false,false,17,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TextDecoders.kt
send packet,public inline,,0,false,1,true,false,2,true,false,false,false,8,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/XMLHttpRequest.kt
send packet,public,,0,false,1,true,false,2,true,false,false,false,12,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/XMLHttpRequest.kt
response packet,public,,0,false,0,false,true,12,true,false,false,false,16,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/XMLHttpRequest.kt
to code point,private,,0,false,0,true,false,7,true,false,false,false,73,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TextDecoderFallback.kt
is ascii,private,,0,false,0,false,true,0,true,false,false,false,82,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/js/TextDecoderFallback.kt
copy to,public actual,,0,false,4,true,false,16,true,false,false,false,123,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/bits/MemoryJs.kt
copy to,public actual,,0,false,4,true,false,11,true,false,false,false,141,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/bits/MemoryJs.kt
fill,public actual,,0,false,3,true,false,7,true,false,false,false,154,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/ktor/ktor-master/ktor-io/js/src/io/ktor/utils/io/bits/MemoryJs.kt
