function name,modifiers,type params,type params number,type params have bound,params number,has block body,has initializer,body length,is top level,is inside class,is inside function,is functional expression,line number,file path
is before,infix,<T : TemporalAccessor>,1,true,1,false,true,19,true,false,false,false,15,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/time/TemporalAccessor.kt
is after,infix,<T : TemporalAccessor>,1,true,1,false,true,19,true,false,false,false,36,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/time/TemporalAccessor.kt
get,,<T : TemporalAccessor>,1,true,1,false,true,10,true,false,false,false,57,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/time/TemporalAccessor.kt
get long,,<T : TemporalAccessor>,1,true,1,false,true,10,true,false,false,false,69,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/time/TemporalAccessor.kt
properties are equal to,infix,<T : Any>,1,true,1,false,true,51,true,false,false,false,7,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/Any.kt
to path,,<T : File>,1,true,0,false,true,6,true,false,false,false,32,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
lines,,<T : File>,1,true,1,false,true,7,true,false,false,false,73,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
text,,<T : File>,1,true,1,false,true,7,true,false,false,false,82,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
child file,,<T : File>,1,true,1,false,true,4,true,false,false,false,101,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
exists,,<T : File>,1,true,0,false,true,11,true,false,false,false,107,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
not exists,,<T : File>,1,true,0,false,true,11,true,false,false,false,120,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is regular file,,<T : File>,1,true,0,false,true,11,true,false,false,false,133,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is not regular file,,<T : File>,1,true,0,false,true,11,true,false,false,false,146,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is directory,,<T : File>,1,true,0,false,true,11,true,false,false,false,159,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is not directory,,<T : File>,1,true,0,false,true,11,true,false,false,false,172,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is readable,,<T : File>,1,true,0,false,true,11,true,false,false,false,185,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
is not readable,,<T : File>,1,true,0,false,true,11,true,false,false,false,198,/home/furetur/IdeaProjects/kotlin-stats-extractor/src/main/resources/datasets/strikt/strikt-main/strikt-jvm/src/main/kotlin/strikt/java/File.kt
